"","Com.ES","ES.var","Qval","Qpval","tau2","Zval","Pval","FDR","AveFC","propDataset"
"RUFY4",0.560548261657774,0.00816014230403349,1.39577742050385,0.497634846807189,0,6.20531944961789,5.45859135669957e-10,1.12228330333723e-08,1.04900390359207,1
"GAS6",0.766144863327386,0.008259668540558,1.53947716475171,0.463134123909838,0,8.43003901192043,0,0,1.54543957351058,1
"BCORP1",0.451693943434585,0.0081131934899009,0.374282577194354,0.829326553721935,0,5.01473918685478,5.31054523245089e-07,4.8412644060936e-06,1.24594249089319,1
"PPM1J",0.939872730028282,0.0289902305730053,5.81626346165434,0.0545776003270589,0.0552746612939277,5.52005257555438,3.38898249463426e-08,4.25505579881857e-07,1.47695470971316,1
"ST8SIA6",-0.542744995133538,0.00814690840797178,0.586567693698659,0.745810414713353,0,-6.01311362534248,1.8199337592506e-09,3.29146084473896e-08,-1.16779761438141,1
"GGTA1P",1.03908102890933,0.00844788140863566,1.08472749118849,0.581372410470607,0,11.3051287161522,0,0,2.50516462154743,1
"NAT8L",-0.707305265785096,0.0161141578767631,3.41903477692063,0.18095310160224,0.0201613049011238,-5.57189705890379,2.51980303289656e-08,3.31209817948902e-07,-1.19636896255332,1
"RTL5",0.786998810819134,0.00827448845329212,0.430277144404086,0.806429683697272,0,8.6517407838596,0,0,1.21039171432015,1
"GJA1",0.475182015468833,0.0308523567356353,6.3706019485646,0.0413657938870845,0.0614707616098774,2.70530243293694,0.00682422282144945,0.0181502032330779,1.38532306004886,1
"GJA3",-0.579542862693869,0.00816403792742306,0.386220617615909,0.824391031531339,0,-6.41406054156808,1.41693989874625e-10,3.39716001710922e-09,-1.31064216763065,1
"CD300E",0.326644054086093,0.00807508510921902,0.42768117189615,0.807477097959106,0,3.63497311379028,0.000278009627525666,0.00115886369472166,1.05577562706858,1
"ABO",0.741117920103893,0.0326811420642979,6.64317519671416,0.0360954811146862,0.066241787270967,4.09957373590174,4.139117843871e-05,0.000222964428540278,1.9514426173689,1
"MACC1",-0.56672784497539,0.00859337479264958,2.0733246377713,0.354636371930671,0.00103582347679401,-6.11353882369621,9.74456515479005e-10,1.89143177445239e-08,-1.23878792909159,1
"LANCL3",-1.00727924610463,0.00842874561355739,0.883341321328722,0.642961353055007,0,-10.9715607596282,0,0,-1.69481386880452,1
"GLI3",0.862204866334293,0.0681128318348016,13.7764549444103,0.00101971972158531,0.169391801369595,3.30366499256386,0.000954297956049732,0.00338133235423844,1.49727104641928,1
"RBPMS2",-0.648100379011487,0.00819496503050046,0.118690755533943,0.942381235417553,0,-7.1592696976865,8.11128941791139e-13,3.69494580765295e-11,-1.55561160953006,1
"LILRA5",0.477871384258457,0.00812465137540877,0.891070918145868,0.640481232710587,0,5.30162075361452,1.14779088677963e-07,1.25799607192381e-06,1.15521608060908,1
"GNAI1",1.0241538024524,0.00843798772122701,1.19646937551026,0.549781315637116,0,11.1492521429398,0,0,2.23384403174158,1
"PEAR1",1.06179740996902,0.0166500908949956,3.42377312915613,0.180524899279142,0.0208484996010871,8.22874032124359,2.22044604925031e-16,2.1869893283731e-14,2.26118749372852,1
"ENHO",0.566739036792334,0.00815629673210251,0.0660490062932861,0.967514852140278,0,6.27533072407352,3.48891804335949e-10,7.51225381359694e-09,1.23761742946731,1
"GNG11",1.13944770153437,0.0259205511903977,5.12525066188106,0.0771020560895314,0.0461010065865406,7.0773761873039,1.46904710618401e-12,6.18910394995499e-11,2.8485047504284,1
"SKIDA1",-0.526415780377269,0.0081396108161719,0.203644323491655,0.903190159148466,0,-5.83481484938623,5.38503308611382e-09,8.43153891474556e-08,-1.38684430996336,1
"RGS9BP",-0.900321915612908,0.00834527499664276,0.278749583879743,0.86990193511973,0,-9.85547352710304,0,0,-1.34446051424618,1
"C1orf53",-0.872833781515764,0.00832561130534569,0.647319221487033,0.723496470896491,0,-9.56584811379785,0,0,-1.2004295352662,1
"GPR12",-0.482576737830706,0.0081244317437087,0.449474155741175,0.798726193946336,0,-5.35389545032047,8.60806093072597e-08,9.72710885172035e-07,-1.30022814672904,1
"BEND4",0.595355488988896,0.00817535718587144,1.47356656882719,0.478651126349104,0,6.58450290915403,4.56410464977353e-11,1.24589800523874e-09,1.59952644864015,1
"LPAR4",-0.755155564242382,0.00825330435119802,0.084019433600913,0.958860463471429,0,-8.31232464233292,0,0,-1.3710654483226,1
"AKR1C6P",0.963252224827188,0.00839083435742699,0.61979614589513,0.73352171812072,0,10.5156820615341,0,0,1.80751859360624,1
"GPER1",0.631711365565975,0.0081922944520348,1.19657565694804,0.54975210063903,0,6.9793650426253,2.96518365416887e-12,1.13447459650445e-10,1.41694630913553,1
"GRK5",1.01636404542639,0.00843039239980535,0.0150528002323155,0.992501852309078,0,11.0694335703495,0,0,1.29054186468534,1
"GPX3",0.539189966175314,0.00814447113702206,0.00639025079424425,0.996809973583956,0,5.97462095155285,2.30625785135885e-09,4.05040008424795e-08,1.01983815650916,1
"GRID1",-0.777992711755433,0.011362673901093,2.53272242844104,0.281855369359606,0.00760461352508909,-7.29852763965261,2.90878432451791e-13,1.43247801008438e-11,-1.2412693070475,1
"MIR1915HG",-0.514059861864205,0.00813578276287876,1.10084162187099,0.576707074667549,0,-5.69920164712291,1.20369780809426e-08,1.72530019160178e-07,-1.52236927680424,1
"PRSS57",-0.603852311782218,0.0137868522208856,2.99513633391872,0.223673435754291,0.014076950890908,-5.14278268524081,2.70698684357029e-07,2.67161457134219e-06,-1.16407561551593,1
"GBP1P1",0.650554078487678,0.00820020964402815,1.24347810254165,0.537009737618002,0,7.18407613346384,6.7656991120657e-13,3.0926634294245e-11,1.03343767246833,1
"H1-0",0.84871715599854,0.0198871213188018,4.08925189445395,0.129428594048481,0.0300495449973809,6.01834416336262,1.76210246394248e-09,3.19877554382186e-08,1.73590607910886,1
"SLC22A20P",-1.09946256361444,0.00850005825046696,0.131728693110681,0.936257862281675,0,-11.9253050020032,0,0,-1.59651141602655,1
"CT45A5",-0.486583052929601,0.00812348957982917,0.0226963401917658,0.988715977504455,0,-5.39865612145075,6.71419262410211e-08,7.78622003830839e-07,-1.17228586710534,1
"HLA-DMA",0.900717284206653,0.00834458970716848,0.244651250903289,0.884860188587265,0,9.8602063270917,0,0,1.20528721616132,1
"HLA-DMB",0.835725962610113,0.00830086361588746,0.274231479062247,0.871869310547057,0,9.17280698064645,0,0,1.4188021470987,1
"HLA-DOA",1.04750668330832,0.00898735676860639,2.08652969670442,0.352302587752611,0.00126827969285487,11.049453828291,0,0,2.01260078147061,1
"HLA-DPA1",0.838898316915716,0.00830295963260977,0.487420844758771,0.7837145476007,0,9.20646401179546,0,0,1.59094780368438,1
"HLA-DPB1",0.873600103279086,0.0083259999833752,0.0768823638590356,0.962288303016531,0,9.57402316301532,0,0,1.56836632828064,1
"CT45A1",-0.5129529119002,0.00813363226561086,0.0384445090541817,0.980961314919559,0,-5.68768103065625,1.28776060925873e-08,1.83138403913799e-07,-1.21256767968745,1
"HLA-DPB2",0.641998380492783,0.00819115684948308,0.217629868504515,0.896896386940629,0,7.09351206004105,1.30739863379858e-12,5.58884160846978e-11,1.20215505869024,1
"HLA-DQA1",0.856792723363963,0.00831564262680307,0.443736086865945,0.801021057349907,0,9.39567229721978,0,0,2.02834449017723,1
"HLA-DQA2",0.500314318145021,0.00812947964933681,0.665869065323159,0.716817120728632,0,5.54895953405666,2.8737467738793e-08,3.69802690674314e-07,1.25744726040625,1
"HLA-DQB1",0.708500449903685,0.00822619079151476,0.355993892538368,0.83694497928954,0,7.81161339373124,5.55111512312578e-15,4.25887395525287e-13,1.88852912732635,1
"HLA-DQB2",0.905323669646076,0.00835030268775869,0.318622917756958,0.852730727048678,0,9.9072418742068,0,0,1.66308571055555,1
"HLA-DRA",0.737021112883853,0.0082427798352184,1.53049633513922,0.465218464511714,0,8.11788844399163,4.44089209850063e-16,4.09714456454706e-14,1.176522375079,1
"DPY19L2P1",-0.592342645086808,0.00817202357267739,0.792514143489897,0.672833707167915,0,-6.55251758273553,5.65749669334537e-11,1.50217357557187e-09,-1.01813126539616,1
"HLA-DRB1",0.729188957325218,0.00823772126026116,1.05482719153077,0.590129310495464,0,8.03408712051708,8.88178419700125e-16,7.7526807329154e-14,1.32337778437444,1
"HLA-DRB5",0.637796544077353,0.00819058369517941,1.17779571430166,0.554938569387104,0,7.04733206197716,1.82387438485421e-12,7.4472316268963e-11,1.34496772070296,1
"HLA-DRB6",0.664246206884511,0.00820241651697335,0.722686950987523,0.69673964436972,0,7.33429161360493,2.22932783344731e-13,1.12058316648833e-11,1.32338078368087,1
"AOX1",1.22725182910938,0.10269938301581,20.2354523548746,4.03577877289117e-05,0.27040460378567,3.82956787025982,0.000128368476658647,0.000598409748721808,2.04041186025703,1
